Datapoint Term,CSV Term,Working Definition,Source(s) Of Data
Data ID,data_id,Unique alphanumeric identifier assigned to each project by UVA. Projects that span multiple localities will be assigned a unique Data ID for each locality that reviewed the project. Solar + storage projects will appear in both databases and will share a Data ID.,Weldon Cooper Center at UVA
Locality,locality,"Jurisdiction having authority (AHJ) over local land use permitting; in other words, the name of the town, city, county where the project is proposed. Only one locality per project record; if more than one locality is permitting a project, the additional localities will each be given a project record and a unique Data ID. The additional localities will be listed under ""Additional Localities"".  If the AHJ is a town, the county the town is located within will be listed as Additional Locality, but a separate Data ID will only be given if that County took action on the project.","Local permit documents, DEQ, SCC"
Virginia Region,region,"Regions are defined using the Weldon Cooper Center Demographics Research Group§s eight regions for the Commonwealth of Virginia (linked in Sources). These regions have been developed based on communities§ shared demographic, social, economic and geographic characteristics. These were the defined regions used to evaluate results of the Virginia Solar Survey.",Weldon Cooper Center at UVA:  https://www.coopercenter.org/virginias-demographic-regions
Additional Localities,additional_localities,"Name of additional localities if project required land use permitting from multiple localities.  If the authority having jurisdiction (AHJ) is a town, the county the town is located within will be listed as Additional Locality, but a separate Data ID will only be given if that County took action on the project.","Local permit documents, media, other reliable sources"
Project Name,project_name,"Project name at the time of local permitting, as it appears in local records. If the project was by-right, the name is as it appears in state permitting records. Sometimes a locality will refer to a project by multiple names; when this happens the most common name, or name the owner/developer uses today, will be chosen as Project Name.","Local permit documents, EIA, DEQ, SCC, project website"
Alternative Project Names,alt_names,Other names the project has been/is known by. Associated battery energy storage project will be listed here if it has a different name.,"Local permit documents, EIA, SCC, DEQ, PJM, project website, media, other reliable sources"
Project Phases,project_phase,For solar only: Project name of phase(s) associated with the parent project.,"Local permit documents, DEQ, EIA"
Data ID for Parent/Child Project,parent_or_child_project_id,"For solar only: Data ID of projects affiliated with the project. A parent project is a large project that encompasses smaller, independently recorded or permitted projects (child project), such as when a project has several phases.","Local permit documents, DEQ, SCC, EIA, UVA"
Data ID for Previous Project,prev_project_id,"For solar only: Data ID that links a project to a previous iteration of the same project. Projects generally share location, relative size and attributes, but may not share the same project name or developer. Previous projects were typically denied or withdrawn; otherwise it may be considered an amendment to a previously approved project.",Weldon Cooper Center at UVA
Owner/Developer at Local Action,local_action_project_owner,"Name of the project developer/owner at the time of local action. This is not the property owner unless the developer, applicant, and property owner are the same entity. If the project was by-right, this is the developer at the time the project appears in offical records.","Local permit documents, media"
Latest Nameplate Capacity per Local Action (MWac),project_mw,"For solar projects, latest permitted maximum nameplate electrical generation by megawatts (MW) in AC, per local application and/or permit amendment. If MW is not provided in local permit documents, state and/or interconnection records will be used to verify nameplate capacity.","Local permit documents, media, other reliable sources"
BESS project MW,project_bess_mw,"For BESS projects, latest permitted maximum power capacity in megawatts (MW) as reported in locality records or other verified source.","Local permit documents, media, other reliable sources"
BESS Project Energy Capacity (MWh),project_bess_capacity,"For BESS projects, latest permitted maximum energy capacity in megawatt hours (MWh), as reported in locality records or other verified source.","Local permit documents, DEQ, SCC, media, other reliable sources"
BESS Project Duration- Short or Long,bess_duration_short_long,"For BESS projects, short duration is defined as delivering less than 10 hours of generation and long duration is defined as 10 or more hours.  10 hour threshold was determined based on definitions proposed at the time of this release, HB 895: https://lis.virginia.gov/bill-details/20261/HB895 , and with stakeholder consent.","Local permit documents, media, other reliable sources"
Phase Capacity (MWac),phase_mw,"For solar only: Megawatts (MW) associated with that particular phase of a project, reported in AC. At this time, this datapoint is for solar only.","Local permit documents, DEQ, SCC, EIA"
Local Permit Status,local_permit_status,"Description of the status of the local zoning or land use application that would enable the project (e.g., Rezoning, 15.2-2232 review, Siting Agreement, Conditional or Special Use Permit, or Special Exception). ""By-right"" is applied when the project didn't require local zoning action; however, the project may still have a siting agreement with local approval. ""Pending"" is applied when there is a valid zoning or enabling application on file; a public hearing may have been scheduled, but the AHJ has not completed action on it. ""Withdrawn"" is when the applicant withdrew their application prior to final local action. For solar projects, ""Approved/Amended"" is applied when a project was approved, but was supplanted by a new project application (as opposed to an amendment of the existing permit).  For solar projects, ""NA"" is applied when the project is a child/phase of a parent project  and permitting history is applied to the parent project. For solar projects, ""NA"" could also be applied to a parent project if the child/phases applied individually for local permitting.","Local permit documents, DEQ, media, other reliable sources"
Best Available Project Acreage,public_project_acres,"Acreage assigned by UVA based on best available information provided in local permit documents or other verified sources. Preference is to record ""project acreage"" as reported by locality. There is no single or universal definiton of ""project acreage."" For solar projects, if ""project acreage"" is not reported, ""best available acreage"" will be determined based on a triage of the following: ""in-fence"", then ""lease"", then ""under panel"", then ""parcel"" acreages. For BESS, ""project acreage"" will be reported if the acreage is verifiable by the locality records, DEQ, SCC, or other reliable source. Because BESS  project footprint and acreage can vary so much based on technology and duration, best available acreage will not be estimated if it is not provided in permitting records.","Weldon Cooper Center at UVA; local permit documents, DEQ, SCC, other reliable source (project developer, utility)."
Location Description,location_description,"Exact address if available, and/or description of the location with respect to towns, roads, and other features.","Local application documents (public hearing notice), media"
Date- Final Action,final_action_date,"The date the locality took final action on a project application. It may be the date of planning commission action only  (ex: in the event 15.2-2232 is the only required approval), Board/Council action (SUP, CUP, special exception, siting agreement, appeal, public property lease agreement, appeal), or applicant action (withdrawn). This date does not reflect any subsequent amendments to the primary application. For projects approved as solar+storage, permitting data (including date of final action) reside in the solar database.",Local application documents (meeting minutes)
Date(s)- Local Permit Amendment,local_permit_amend_date,"For solar projects: Date(s) of amendment(s) to an approved local permit. If an amendment requires a new SUP application, for example, or the project changed substantially, it would be recorded in this database as a subsequent project to a previous project.",Local application documents
Local Permit Amendment Description,local_permit_amend_desc,For solar projects: A brief description of the nature of the amendment request.,Local application documents
Siting Agreement Executed?,siting_agreement_exists,"""Yes"" indicates an executed siting agreement (per state code 15.2-2316.7) has been verified. This does NOT include or reflect any executed proffer agreements, conditions, or community benefit agreements (CBAs). For siting agreements that were presented but denied or not approved, the response is ""No"". Projects that were enabled before siting agreement legislation effective date of 2020 were not required to have a siting agreement NOI or negotiations.","Local application documents, Virginia Energy"
Date- Siting Agreement Action,siting_agreement_date,"Date the siting agreement was authorized to be executed, or executed by the local authority, date it was denied, or date the locality failed to take action at an advertised siting agreement hearing.","Local application documents, Virginia Energy"
Siting Agreement Link,siting_agreement_link,"Link to executed version of siting agreement (if not signed, this is the version approved by the local authority in the public hearing.)","Local application documents, Virginia Energy"
Shared Solar Program - Enrolled (Dominion or Appalachian Power),shared_solar_enrolled,"For solar only, this datatpoint captures whether the project is officially enrolled in a Dominion or Appalachian Power shared solar program (MW have been allotted to subscriber organization.)",Dominion and Appalachian Power Shared Solar Programs
Shared Solar Program - Enrolled Date,shared_solar_enrolled_date,"For solar only, the date project was enrolled in its utility's shared solar program, as reported by the utility.",Dominion and Appalachian Power Shared Solar Programs
Mined Land?,mined_land,"For solar only, this datapoint reports whether the project is located on Abandoned Mined Land (AML) or a released permitted surface mine site. These locations have been identified as AML sites or permitted by the Virginia Dept. of Energy or predecessor agency.",Virginia Department of Energy (thru 3/31/26)
